id,agency_name,first_seen,last_seen
1688,BROKERHOUSE Real Estate,2026-02-03 18:49:26,2026-02-06 06:50:13
1693,Greca House,2026-01-31 18:24:47,2026-02-05 18:41:32
1775,offers inn,2026-02-01 18:27:20,2026-02-01 18:27:30
1799,Le Courtier,2026-01-27 06:30:25,2026-01-27 06:30:25
2031,ANAPTIXIS ESTATE,2026-02-02 18:35:57,2026-02-05 18:41:32
2098,MAGNA REAL ESTATE,2026-01-30 18:34:58,2026-02-05 06:54:34
2262,"LANTZI PROPERTIES Ltd ΚΤΗΜΑΤΟΜΕΣΙΤΙΚΗ, ΕΠΕΝΔΥΤΙΚΗ,",2026-02-02 18:35:57,2026-02-03 18:48:59
2264,Plasis Real Estate + Development,2026-01-28 01:26:23,2026-02-10 07:00:24
2323,Ακίνητα Καραμήτσου,2026-01-30 18:34:45,2026-01-30 18:34:45
2329,ΑΚΙΝΗΤΑ ΚΑΠΕΛΛΗ-ΤΑΤΑΚΗ,2026-01-30 18:34:58,2026-02-03 18:48:51
2409,ΤΣΑΟΥΣΗΣ-ΣΤAΥΡΟΠΟΥΛΟΣ,2026-01-28 01:26:25,2026-01-28 02:31:24
2489,PHOENIX  INTERNATIONAL REALTY / Greece,2026-02-03 18:49:26,2026-02-05 18:41:32
2589,ΚΤΗΜΑΤΙΚΕΣ ΣΥΝΑΛΛΑΓΕΣ ΜΗΤΡΟΝΙΚΑΣ,2026-01-31 18:24:12,2026-01-31 18:24:38
2677,ΒΑΛΕΡ ΑΕ.,2026-02-03 18:48:51,2026-02-03 18:48:51
2692,REMAX Porto,2026-02-05 18:41:25,2026-02-05 18:41:25
2808,DEAL,2026-01-31 18:24:12,2026-02-06 06:49:50
2894,Ray White Athens,2026-02-03 18:49:17,2026-02-03 18:49:17
2900,All about Property,2026-01-27 06:30:22,2026-01-27 06:30:22
2933,Elite Casa,2026-02-05 18:41:00,2026-02-06 06:49:58
2941,SANKINA & ZERVAS,2026-01-30 18:34:38,2026-01-30 18:34:45
2972,CAS Design & Constructions,2026-01-31 18:24:21,2026-02-01 18:27:45
2992,INFOCASA ΚΟΛΩΝΑΚΙ,2026-01-27 06:30:25,2026-02-05 06:54:50
3015,King΄s Properties,2026-02-01 18:27:38,2026-02-06 06:49:41
3081,ΑΞΙΑ ΚΤΗΜΑΤΟΜΕΣΙΤΙΚΗ,2026-02-01 18:27:10,2026-02-01 18:27:10
3152,EXELIXI,2026-01-28 01:26:23,2026-01-28 02:31:17
3155,KATOIKIA,2026-01-28 01:26:25,2026-02-10 07:00:14
3160,ΝΟΤΙΑ ΓΑΙΑ Ι.Κ.Ε.,2026-02-02 18:36:06,2026-02-03 18:48:59
3250,P&L EST8,2026-01-27 06:30:23,2026-01-27 06:30:23
3288,MARTINOU MARIA REAL ESTATE,2026-01-27 06:30:22,2026-02-10 07:00:14
3294,RIZOS REALTY,2026-01-28 01:26:21,2026-02-10 07:00:24
3313,property matters,2026-02-03 18:49:26,2026-02-03 18:49:26
3346,Μεσιτικό Ι. Θεοχάρης,2026-01-30 18:34:51,2026-02-10 07:00:06
3361,Laios Estate,2026-01-31 18:24:47,2026-02-10 06:59:50
3372,Ελένη Κασσάρα,2026-02-03 18:48:51,2026-02-03 18:48:51
3462,ZENDG E.E.REAL ESTATE,2026-01-27 06:30:25,2026-01-27 06:30:25
3504,ΚΤΗΜΑΤΟΜΕΣΙΤΙΚΟ ΓΙΑΝΝΑΚΟΥ,2026-02-05 06:54:50,2026-02-05 18:41:25
3557,A Beautiful Home,2026-01-28 02:22:57,2026-02-10 07:00:24
3588,HOMELINE-ΕΠΕΝΔΥΣΕΙΣ ΑΚΙΝΗΤΩΝ,2026-01-27 06:30:22,2026-02-10 06:59:50
3614,BINSWANGER BINIARIS,2026-02-02 18:35:49,2026-02-05 06:54:43
3718,S&S Real Estate Agency,2026-02-03 18:49:26,2026-02-05 18:41:32
3728,MAKBEN,2026-02-02 18:35:57,2026-02-10 06:59:50
3786,T&DPROPERTIES,2026-01-27 06:30:18,2026-02-10 06:59:50
3838,VestaLand,2026-02-03 18:49:26,2026-02-05 18:41:32
3868,SOKOLIS REAL ESTATE,2026-01-28 01:26:23,2026-02-01 18:27:38
3945,HOLYSTONE Σύμβουλοι Ανάπτυξης Διαχείρισης Ακινήτων,2026-01-30 18:35:06,2026-01-30 18:35:06
3967,PANTIORAS Real Estate,2026-01-27 06:30:25,2026-01-27 06:30:25
4051,NP REAL ESTATE,2026-01-30 18:34:38,2026-01-30 18:34:38
4059,ΚΑΚΡΙΔΩΝΗΣ ΚΑΤΑΣΚΕΥΑΣΤΙΚΗ,2026-01-31 18:24:12,2026-01-31 18:24:12
4069,CASA VIVA,2026-01-28 01:26:25,2026-02-10 06:59:50
4070,ΑΚΙΝΗΤΑ ΚΑΒΒΑΛΟΣ,2026-02-02 18:36:06,2026-02-10 06:59:50
4117,UNION PROPERTIES,2026-01-28 01:26:25,2026-02-10 07:00:24
4138,SAMAROPOULOU REAL ESTATE,2026-02-02 18:36:15,2026-02-05 18:41:25
4162,KONSTANTOPOYLOY FOTINI-ERATO,2026-01-27 01:18:02,2026-01-27 01:18:02
4163,AΛΕΙΦΕΡΗ REAL HOSPITUM,2026-02-02 18:36:06,2026-02-10 07:00:24
4168,MAISON,2026-02-03 18:49:17,2026-02-03 18:49:17
4183,Monopoly Real Estate,2026-02-02 18:35:41,2026-02-02 18:35:41
4229,EPSILON TEAM,2026-01-31 18:24:38,2026-02-10 07:00:24
4286,ΔΗΜΗΤΡΙΟΥ ΚΑΙ ΣΥΝΕΡΓΑΤΕΣ,2026-01-30 18:34:45,2026-02-10 06:59:50
4340,ΓΑΙΟΘΕΜΕΛΙΑΚΗ ΑΚΙΝΗΤΑ,2026-01-31 18:24:47,2026-01-31 18:24:47
4352,BLUE BROWN,2026-01-27 01:18:02,2026-02-05 06:54:34
4368,THANOS REALTY,2026-02-03 18:49:26,2026-02-03 18:49:26
4452,LOOK 4 ESTATE,2026-02-02 18:35:49,2026-02-05 18:41:32
4474,FOCUS PROPERTIES REAL ESTATE,2026-01-27 06:30:20,2026-02-10 06:59:50
4524,AKTIS.T.M Real Estate,2026-01-31 18:24:30,2026-01-31 18:24:30
4594,Kostas Vlachos Real Estate,2026-01-27 06:30:23,2026-02-10 06:59:50
4648,PLMS REAL ESTATE,2026-02-03 18:49:26,2026-02-05 18:41:32
4650,F-Ζin Properties - Real Estate & Development,2026-01-28 01:26:19,2026-02-06 06:50:13
4663,ΟΙΚΟΕΠΙΛΟΓΕΣ,2026-02-05 18:41:32,2026-02-05 18:41:32
4667,BARNES Greece,2026-01-28 01:26:23,2026-01-30 18:34:58
4713,newdeal,2026-02-10 07:00:24,2026-02-10 07:00:24
4765,ΤΣΙΚΝΑΚΗΣ ΣΤΑΥΡΟΣ,2026-01-30 18:35:06,2026-02-06 06:49:50
4817,ΛΙΝΟΣ ΙΚΕ,2026-01-30 18:35:06,2026-02-02 18:35:49
4844,Ρεβύθης και Συνεργάτες I.K.E.,2026-01-31 18:24:47,2026-02-03 18:48:59
4872,www.eproperties.gr - ΘΕΟΧΑΡΑΚΗΣ ΚΩΝΣΤΑΝΤΙΝΟΣ,2026-01-31 18:24:12,2026-01-31 18:24:12
4874,Real Best Choice,2026-01-27 06:30:25,2026-01-27 06:30:25
4931,REMUST ΚΤΗΜΑΤΟΜΕΣΙΤΙΚΗ,2026-02-03 18:49:26,2026-02-05 18:41:32
4933,ΜΑΓΓΙΝΑΣ ΓΙΩΡΓΟΣ ΜΕΣΙΤΙΚΟ ΓΡΑΦΕΙΟ,2026-01-31 18:24:38,2026-01-31 18:24:38
4936,ΠΛΑΝΟ,2026-01-28 01:26:25,2026-01-28 02:31:24
4970,"I -DEAL 'EGGYHSHi""",2026-01-27 06:30:22,2026-01-27 06:30:22
4976,DRIVAS REAL ESTATE,2026-02-10 06:59:50,2026-02-10 06:59:50
4989,REAL ESTATE ΚΥΠΡΑΙΟΣ,2026-01-27 06:30:18,2026-02-10 06:59:50
4997,RImmobilis,2026-02-02 18:36:06,2026-02-10 07:00:24
5011,Golden Home Real Estate,2026-01-28 01:26:23,2026-02-05 18:41:32
5029,Royal Estates,2026-02-01 18:27:45,2026-02-06 06:50:13
5041,Χριστιάννα Αποστολίδου Κτηματομεσίτης,2026-01-28 01:26:21,2026-02-01 18:27:38
5058,Mobilia,2026-01-30 18:34:45,2026-02-10 07:00:24
5070,Θάνος Θεόδωρος Real Estate,2026-02-02 18:35:41,2026-02-02 18:36:06
5089,ΕΛΕΝΗ ΖΗΣΙΜΑΤΟΥ-FOX REAL ESTATE,2026-01-28 01:26:23,2026-01-28 02:31:17
5095,Λοαν μαρκετ,2026-02-01 18:27:10,2026-02-01 18:27:10
5164,Κατερινα Χαρτουλάρη ΙΚΕ,2026-02-05 18:41:32,2026-02-05 18:41:32
5275,UNION PROPERTIES,2026-01-28 01:26:25,2026-02-10 07:00:24
5319,GREEK HOME,2026-02-03 18:49:17,2026-02-03 18:49:17
5331,Blueberry Realty,2026-02-03 18:49:17,2026-02-03 18:49:17
5342,CERVED ΥΠΗΡΕΣΙΕΣ ΑΚΙΝΗΤΩΝ,2026-02-02 18:35:49,2026-02-10 07:00:14
5348,Οικοστέγαση,2026-01-28 01:26:25,2026-02-03 18:49:17
5349,ΣΟΦΙΑ ΣΑΚΑΛΙΔΟΥ,2026-01-28 01:26:23,2026-02-10 07:00:06
5356,Γεωργακόπουλος & συνεργάτες,2026-01-28 01:26:25,2026-02-10 06:59:57
5441,Divine Property,2026-01-31 18:24:12,2026-01-31 18:24:12
5491,AREA REAL ESTATE,2026-02-01 18:27:38,2026-02-01 18:27:38
5496,Savills ΕΛΛΑΣ Ι.Κ.Ε.,2026-01-28 01:26:25,2026-02-10 07:00:06
5499,ATHINEON ΚΑΤΑΣΚΕΥΑΣΤΙΚΗ,2026-01-30 18:34:45,2026-02-01 18:27:20
5526,Intercasa,2026-02-02 18:36:15,2026-02-06 06:50:13
5654,Casa Noua,2026-01-28 01:26:23,2026-02-10 07:00:24
5802,ΜΕΣΙΤΙΚΟ ΙΩΑΝΝΟΥ,2026-02-05 06:54:43,2026-02-10 06:59:57
5810,CCRE Real Estate,2026-02-02 18:36:06,2026-02-05 18:41:32
5972,ΣΑΝΤΟΡΙΝΑΙΟΣ Α - ΚΑΤΑΣΚΕΥΑΣΤΙΚΗ ΕΕ,2026-01-28 01:26:19,2026-01-28 02:31:00
6009,PropertyPlus Real Estate,2026-01-31 18:24:21,2026-02-10 06:59:57
6045,EPAVLIS ΚΤΗΜΑΤΟΜΕΣΙΤΕΣ,2026-02-02 18:35:41,2026-02-02 18:35:41
6262,ΑΝΟΔΟΣ ΓΚΡΟΥΠ Χατζημάρκου Ανθούλα,2026-02-02 18:36:06,2026-02-05 18:41:32
6268,ΤΡΑΝΤΜΑΡ,2026-01-28 01:26:23,2026-02-10 06:59:57
6281,domus inc.,2026-02-03 18:49:26,2026-02-06 06:50:13
6285,Golden Land Goutos,2026-02-02 18:35:49,2026-02-10 07:00:14
6340,M.D.,2026-01-27 06:30:25,2026-01-27 06:30:25
6349,ΕΥΓΕΙΟΣ - GOODLAND M.ΕΠΕ,2026-02-05 18:41:32,2026-02-05 18:41:32
6382,ΑΔΑΜ ΚΤΗΜΑΤΙΚΗ,2026-01-31 18:24:38,2026-02-10 07:00:24
6436,Cushman & Wakefield Proprius,2026-02-02 18:36:06,2026-02-05 18:41:32
6459,ANASTASIOS D. NEZHS,2026-01-27 06:30:25,2026-01-27 06:30:25
6472,ΑΦΟΙ ΠΑΠΑΓΕΩΡΓΙΟΥ & ΣΙΑ ΟΕ,2026-02-05 06:54:34,2026-02-05 06:54:34
6512,Loftland Realty Group,2026-01-28 01:26:21,2026-01-28 02:31:09
6532,DONTAS REAL ESTATE,2026-01-28 01:26:18,2026-02-10 07:00:14
6547,Look2Book,2026-02-03 18:49:08,2026-02-05 06:54:43
6703,Α. Κριμπά,2026-01-27 06:30:18,2026-02-10 07:00:24
6779,ROKANAS Real Estate,2026-01-27 06:30:25,2026-02-05 06:54:50
6828,ΚΟΥΡΤΕΣΗΣ ΑΚΙΝΗΤΑ,2026-02-05 06:54:14,2026-02-10 06:59:50
6895,Best Deal Estate,2026-01-28 01:26:19,2026-02-10 07:00:24
6906,Ζafirelli Persefoni - Properties for you,2026-01-27 06:30:22,2026-01-27 06:30:22
6961,ΔΟΜΙΚΗ ΤΣΑΚΟΣ,2026-01-31 18:24:30,2026-01-31 18:24:30
7012,Spiti4Real,2026-02-02 18:35:57,2026-02-10 07:00:24
7059,EPC Home Land,2026-02-02 18:35:41,2026-02-05 18:41:32
7069,ATHENIAN PROPERTIES,2026-01-28 01:26:25,2026-01-28 01:26:25
7098,ΚΤΗΜΑΤΙΚΕΣ ΣΥΝΑΛΛΑΓΕΣ ΑΠΟΣΤΟΛΙΔΗ,2026-01-31 18:24:47,2026-02-05 18:41:25
7146,FELI REAL INVEST,2026-01-30 18:34:38,2026-02-10 07:00:24
7217,ATTICA House,2026-01-30 18:34:51,2026-01-30 18:34:51
7240,Kolonaki LAB,2026-01-28 01:26:19,2026-01-28 02:31:00
7302,ART.HOME,2026-02-03 18:49:26,2026-02-03 18:49:26
7402,LEVEL Realty,2026-01-30 18:34:45,2026-01-30 18:34:45
7414,PROPERTY PASS,2026-01-28 01:26:25,2026-02-05 06:54:34
7437,REALTY ONE GROUP,2026-01-28 01:26:18,2026-02-10 06:59:50
7441,Ηouse Market real estate,2026-02-01 18:27:38,2026-02-01 18:27:38
7565,New neighbour,2026-01-28 01:26:19,2026-02-10 06:59:50
7607,GrbHome,2026-01-28 01:26:23,2026-01-30 18:34:45
7620,Choutos,2026-01-27 06:30:23,2026-01-27 06:30:23
7689,Trd Properties,2026-01-28 01:26:18,2026-01-28 02:30:52
7722,Sirioti real estate,2026-01-27 06:30:25,2026-02-05 06:54:43
7742,Stathas Real Estate,2026-01-27 06:30:23,2026-01-27 06:30:23
7787,ΚΕΡΑΜΙΣ,2026-02-02 18:36:06,2026-02-02 18:36:06
7840,GREEK EXCLUSIVE PROPERTIES,2026-02-05 06:54:50,2026-02-05 06:54:50
7860,N&A ΑΝΤΩΝΑΚΟΠΟΥΛΟΙ Ο.Ε,2026-01-31 18:24:47,2026-01-31 18:24:47
7916,NOVA REAL ESTATE,2026-01-27 06:30:18,2026-02-10 07:00:24
7921,ΣΙΝΤΟΡΗ & ΣΥΝΕΡΓΑΤΕΣ,2026-01-27 01:18:02,2026-02-05 18:41:25
7933,NAIRealAct,2026-02-05 18:41:25,2026-02-05 18:41:32
7953,IRG PRO Investment & Residency,2026-02-02 18:36:15,2026-02-05 18:41:32
7981,Lodestar real estate,2026-01-30 18:34:58,2026-01-30 18:34:58
8027,Key Real Estate,2026-01-28 01:26:18,2026-02-10 06:59:50
8116,Dovas Real Estate,2026-02-01 18:27:45,2026-02-06 06:50:13
8198,OKTO REAL ESTATE,2026-02-02 18:36:15,2026-02-02 18:36:15
8251,PANFLOW,2026-02-05 18:41:25,2026-02-05 18:41:25
8410,ΔΩΡΙΚΗ ΑΚΙΝΗΤΑ,2026-01-30 18:34:51,2026-01-30 18:34:51
8447,dominagroup,2026-01-27 06:30:25,2026-01-27 06:30:25
8492,TOPOS-SOLUTIONS,2026-02-02 18:35:57,2026-02-05 18:41:32
8505,LUXURY HOME PROPERTIES,2026-02-03 18:48:51,2026-02-10 06:59:57
8523,ΔΟΞΑ ΝΑΥΤΙΛΙΑΚΗ ΟΙΚΟΔΟΜΙΚΗ,2026-02-02 18:36:15,2026-02-05 18:41:32
8606,LION REAL ESTATE,2026-01-28 01:26:25,2026-02-10 06:59:57
8664,DCI Real Estate,2026-01-31 18:24:30,2026-01-31 18:24:30
8675,HELga,2026-02-02 18:35:49,2026-02-10 07:00:14
8697,TzanisEstate,2026-02-03 18:49:17,2026-02-03 18:49:17
8796,Bee Capital,2026-01-28 01:26:21,2026-02-10 06:59:57
8832,KAPPASIGMA PARTNERS,2026-01-31 18:24:38,2026-02-06 06:49:50
8838,VALUE DEAL,2026-01-30 18:34:51,2026-02-06 06:50:13
8844,CENTURY 21 Alpha,2026-02-01 18:27:45,2026-02-01 18:27:45
8847,ΔΡΟΥΚΑΣ,2026-02-05 06:54:14,2026-02-10 06:59:50
8854,Grekodom Development,2026-02-05 18:41:32,2026-02-10 07:00:06
8859,RE/MAX REAL ADVISOR,2026-02-10 07:00:24,2026-02-10 07:00:24
8874,Vasilopoulos Estates,2026-02-05 18:41:32,2026-02-05 18:41:32
8875,Μπίμπα Νάντια Ολιστική Μεσίτρια MSc MA,2026-02-03 18:49:08,2026-02-05 18:41:32
8907,Yellow Property,2026-01-28 01:26:18,2026-02-05 18:41:25
9193,COZY REAL ESTATE,2026-02-02 18:36:15,2026-02-02 18:36:15
9199,SOUTHBE,2026-01-27 06:30:23,2026-02-10 06:59:57
9220,ΠΡΟΤΥΠΟ REAL ESTATE,2026-01-30 18:34:58,2026-01-30 18:34:58
9241,DOWNTOWN PROPERTIES,2026-01-27 06:30:25,2026-02-10 07:00:14
9243,Keller Williams Solutions Group,2026-01-28 01:26:21,2026-02-06 06:49:58
9250,SmartDeals,2026-02-02 18:36:06,2026-02-06 06:50:13
9354,AVA PROPERTIES,2026-02-02 18:36:15,2026-02-06 06:49:41
9393,TSAMPARLIDIS,2026-01-27 06:30:18,2026-01-27 06:30:18
9449,GREEKORNER,2026-02-02 18:36:06,2026-02-05 18:41:32
9488,ΣΤΑΜΟΥΛΗΣ,2026-02-02 18:36:06,2026-02-10 06:59:50
9611,Hellenic Realtor Service,2026-01-30 18:35:06,2026-02-01 18:27:38
9620,MYKONOS FEELINGS Properties & Services,2026-02-02 18:35:57,2026-02-05 18:41:32
9686,ΑΚΙΝΗΤΑ ΑΤΤΙΚΗΣ,2026-01-31 18:24:30,2026-01-31 18:24:30
9754,Keller Williams Athens Riviera,2026-01-27 06:30:25,2026-01-31 18:24:12
9779,ΠΟΛΙΣ ΜΕΣΙΤΙΚΗ,2026-02-02 18:35:41,2026-02-06 06:50:13
9821,astyrealestate,2026-02-01 18:27:30,2026-02-10 07:00:24
9835,ReaLand,2026-02-02 18:35:49,2026-02-05 18:41:32
10168,ΚΤΗΜΑΤΑΓΟΡΑ VENUS,2026-01-30 18:34:45,2026-01-30 18:34:58
10199,THELO SPITI REAL ESTATE,2026-02-05 06:54:50,2026-02-06 06:50:06
10234,ΚΡΟΙΚΟΣ,2026-01-28 01:26:23,2026-02-10 07:00:06
10290,Geo AKT Realty,2026-01-28 01:26:18,2026-01-28 02:30:52
10299,LvMykonos,2026-01-27 06:30:18,2026-02-10 06:59:50
10559,Arcus Real Estate,2026-01-27 06:30:18,2026-02-10 06:59:50
10615,ΣΟΛΟΜΩΝ ΟΥΝΑΙΤΕΝΤ ΡΕΑΛΤΟΡΣ ΜΟΝ ΙΚΕ,2026-02-05 18:41:32,2026-02-05 18:41:32
10623,INrealestate,2026-01-28 01:26:25,2026-02-06 06:49:58
10668,INTERATTICA REAL ESTATE,2026-02-03 18:49:26,2026-02-03 18:49:26
10694,ART Real Estate,2026-02-01 18:27:20,2026-02-01 18:27:20
10796,HOMEBEAT,2026-01-27 06:30:22,2026-02-10 06:59:50
10949,Wonder International Realty,2026-01-28 01:26:23,2026-02-10 07:00:24
10950,Vergos Real Estate,2026-02-02 18:36:06,2026-02-06 06:50:06
11088,Golden Section,2026-01-28 01:26:21,2026-02-10 06:59:57
11129,ΚΟΥΚΛΟΣΠΙΤΟ,2026-01-27 06:30:22,2026-01-30 18:34:45
11234,South Properties,2026-02-05 18:41:00,2026-02-10 07:00:24
11237,NICE N EASY PROPERTIES,2026-01-27 06:30:18,2026-02-10 07:00:24
11297,OPSIS Real Estate,2026-02-05 18:41:25,2026-02-05 18:41:25
11515,KM PROPERTIES,2026-02-05 06:54:14,2026-02-05 06:54:14
11522,ΑΘΗΝΑΪΚΗ ΚΤΗΜΑΤΟΜΕΣΙΤΙΚΗ,2026-02-05 06:54:50,2026-02-05 18:41:25
11578,HOMELLIERS,2026-02-05 18:41:25,2026-02-05 18:41:25
11617,WHITE DEALS REAL ESTATE,2026-01-28 01:26:25,2026-02-10 06:59:50
11668,APL Consulting,2026-01-27 06:30:18,2026-02-06 06:49:50
11866,ΔΙΑΧΕΊΡΙΣΉ ΑΚΙΝΗΤΩΝ,2026-01-30 18:35:06,2026-02-06 06:49:41
11875,NTAGIAS CONSTRUCTIONS E.E.,2026-01-28 01:26:23,2026-01-31 18:24:12
11880,ΜΕΛΑΣ ΝΙΚΟΛΑΟΣ,2026-02-03 18:48:51,2026-02-03 18:48:51
11895,URBAN REAL ESTATE,2026-02-02 18:35:57,2026-02-06 06:50:13
12025,ΕΡΕΧΘΕΙΟΝ ΚΤΗΜΑΤΟΜΕΣΙΤΙΚΗ,2026-02-01 18:27:45,2026-02-06 06:50:13
12142,CityValue Real Estate,2026-02-03 18:49:26,2026-02-05 18:41:32
12424,INVESTGREECE,2026-01-28 01:26:25,2026-01-28 02:31:24
12504,Olympia Properties Real Estate,2026-02-02 18:36:06,2026-02-02 18:36:06
12527,MEGA HOUSE REAL ESTATE,2026-02-03 18:49:17,2026-02-10 06:59:50
12542,Best Plus,2026-01-27 06:30:18,2026-02-05 18:41:32
12600,Μπαγλατζής Μεσιτικό Γραφείο,2026-02-02 18:36:06,2026-02-02 18:36:06
12867,YESTAYHOMES,2026-01-28 01:26:23,2026-02-10 07:00:14
13041,Ακίνητα Κοντζίνου,2026-01-30 18:35:06,2026-01-30 18:35:06
13093,Special Homes Real Estate,2026-01-28 01:26:23,2026-02-05 18:41:32
13244,Delfi Properties,2026-01-27 06:30:18,2026-02-10 06:59:50
13391,PATERAS PROPERTIES,2026-01-28 01:26:23,2026-02-10 07:00:24
13399,Christina Diapouli O.E. Luxury Investments,2026-02-02 18:36:15,2026-02-05 18:41:25
13510,HK CAPITAL INVESTMENTS & REAL ESTATE,2026-01-28 01:26:25,2026-02-10 06:59:57
13705,Engel & Völkers Ελλάδος,2026-01-27 06:30:18,2026-02-10 07:00:24
13714,I.MOSXONISIOS-PANGOS.F OE,2026-01-27 06:30:23,2026-01-27 06:30:23
13761,Utopia Real Estate,2026-01-30 18:34:51,2026-02-06 06:50:06
13787,Attraction Properties,2026-01-28 01:26:23,2026-02-10 07:00:06
13790,Propzzy,2026-01-28 01:26:25,2026-02-10 06:59:50
13827,HOMELAND NET GREEK PROPERTIES,2026-01-28 01:26:23,2026-02-01 18:27:20
14050,δῆτα κτηματομεσιτική,2026-01-30 18:34:38,2026-02-10 07:00:06
14067,SARTZIS REALTY GROUP,2026-01-27 06:30:25,2026-01-27 06:30:25
14126,KELLER WILLIAMS COSMOS,2026-01-31 18:24:30,2026-01-31 18:24:38
14140,Home Ellada,2026-01-27 06:30:23,2026-02-06 06:49:58
14146,Equal Estate,2026-02-01 18:27:38,2026-02-01 18:27:38
14163,ENTERHOME,2026-01-28 01:26:21,2026-01-28 02:31:09
14201,Plasis Real Estate + Development,2026-02-02 18:36:06,2026-02-05 18:41:32
14217,RE/MAX Abacus Properties,2026-01-30 18:34:38,2026-01-30 18:34:38
14324,V² DEVELOPMENT,2026-02-05 18:41:07,2026-02-10 07:00:24
14420,FINDERS Tailor Μade Investements,2026-01-27 01:18:02,2026-01-27 01:18:02
14573,MAT//VIN,2026-02-03 18:48:59,2026-02-03 18:48:59
14615,ACCESS PROPERTIES,2026-02-02 18:35:49,2026-02-10 07:00:24
14676,LOBSTER ESTATE,2026-02-02 18:36:06,2026-02-10 07:00:14
14693,Spitidea,2026-02-06 06:49:41,2026-02-10 06:59:50
14707,ΖΥΓΟΥΡΑΣ ΚΤΗΜΑΤΕΜΠΟΡΙΚΗ,2026-02-03 18:49:17,2026-02-03 18:49:17
14721,N-oikos,2026-01-27 06:30:18,2026-02-05 06:54:14
14742,RE/MAX LYSIS,2026-01-31 18:24:21,2026-02-03 18:49:26
14748,PROPERTY DEVELOPMENT,2026-01-30 18:34:58,2026-01-31 18:24:21
14936,ENCORE PROPERTY GROUP,2026-01-30 18:35:06,2026-01-30 18:35:06
15026,KMA Associates Real Estate & Business Consultants,2026-02-03 18:49:26,2026-02-06 06:49:58
15031,Greecing,2026-01-30 18:34:58,2026-02-10 07:00:24
15033,ΕΝΙΚΟ REAL ESTATE,2026-02-05 18:41:32,2026-02-10 06:59:50
15087,Smartimmo-invest,2026-02-01 18:27:30,2026-02-01 18:27:30
15138,AXION THEAS,2026-02-01 18:27:10,2026-02-01 18:27:10
15201,Athenean Agency,2026-01-30 18:34:51,2026-01-30 18:34:51
15203,Exclusive Agents,2026-01-28 01:26:25,2026-02-10 07:00:24
15265,CVS Properties,2026-02-03 18:49:17,2026-02-03 18:49:17
15323,RE/MAX PROPERTIES INVESTMENT 2,2026-01-30 18:34:51,2026-01-30 18:35:06
15346,Attic.Con,2026-02-01 18:27:10,2026-02-10 06:59:50
15483,Pr-property,2026-01-28 01:26:21,2026-01-28 02:31:09
15522,PROSPERTY,2026-01-31 18:24:12,2026-02-01 18:27:10
15551,Dominion Real Estate,2026-02-05 18:41:00,2026-02-06 06:49:58
