id,agency_name,first_seen,last_seen
70,ΠΟΛΙΤΕΙΑ Real Estate,2026-01-28 01:26:25,2026-01-30 18:34:51
113,REAL ESTATE ΚΗΦΙΣΙΑΣ ΚΟΥΡΤΟΓΛΟΥ,2026-01-28 01:26:25,2026-02-10 07:00:24
119,ALFAMESITIKI - REAL  ESTATE GROUP,2026-01-27 06:30:18,2026-02-01 18:27:10
252,MERRYLAND REAL ESTATE,2026-02-05 06:54:34,2026-02-06 06:49:58
257,Hellenic Property - Porto Leone  Real Estate,2026-01-31 18:24:12,2026-01-31 18:24:12
258,ΔΙΚΑΙΟΥ & ΣΥΝΕΡΓΑΤΕΣ,2026-02-02 18:36:06,2026-02-03 18:49:17
270,PMD REALESTATE NETWORK,2026-01-28 01:26:25,2026-02-10 07:00:14
319,Hacienda Real Estate,2026-02-03 18:49:17,2026-02-03 18:49:17
325,TRUST ΧΑΡΑΛΑΜΠΟΥΣ,2026-02-05 06:54:50,2026-02-05 06:54:50
459,ΕΥΑΓΓΕΛΙΑ ΚΥΡΙΑΚΟΥ- ΜΗΤΣΙΟΥ,2026-02-06 06:49:41,2026-02-10 06:59:50
515,Salamis Real Estate,2026-01-27 06:30:25,2026-02-01 18:27:20
568,ATHENS  REAL ESTATE ΚΤΗΜΑΤΙΚΕΣ ΣΥΝΑΛΑΓΕΣ,2026-02-02 18:36:06,2026-02-05 18:41:32
661,A4group Real Estate & Investments,2026-01-28 01:26:19,2026-02-05 06:54:43
695,ALPHA DEAL,2026-01-28 01:26:25,2026-02-01 18:27:30
874,ROYALTY-ESTATE,2026-01-31 18:24:38,2026-02-01 18:27:38
948,HELEN'S REAL ESTATE,2026-02-02 18:35:49,2026-02-06 06:50:06
1062,KTIRIO ACT,2026-02-03 18:48:59,2026-02-05 18:41:32
1065,RED HELLAS,2026-02-01 18:27:45,2026-02-05 06:54:34
1085,RE/MAX Properties Investment,2026-01-30 18:34:51,2026-01-30 18:35:06
1160,FUTURE VALUE,2026-02-02 18:36:06,2026-02-10 07:00:24
1303,NOVA TERRA REAL ESTATE AGENCY,2026-01-27 06:30:18,2026-02-06 06:50:13
1369,myTopos Enterprises,2026-01-30 18:34:45,2026-01-30 18:34:45
1409,Αλεξάνδρα Κονταξή &Συνεργάτες,2026-02-05 06:54:43,2026-02-10 07:00:24
1413,ΔΗΜΑ ΣΟΦΙΑ & ΣΥΝΕΡΓΑΤΕΣ,2026-02-10 06:59:57,2026-02-10 06:59:57
1463,LAMDA PROPERTIES,2026-02-01 18:27:20,2026-02-05 18:41:32
