id,category,subtype,buy_or_rent,geography,latitude,longitude,sq_meters,floor_number,rooms,bathrooms,ad_type,agent_id,first_seen,last_seen,is_active
18221611,house,3,sale,Πάτημα (Χαλάνδρι),38.032948,23.841854,48,6,1,1,vip,5275,2026-01-28 01:26:19,2026-01-28 01:26:19,1
18222276,house,4,sale,Κεφαλάρι (Κηφισιά),38.071728,23.831085,400,3,4,3,vip,6532,2026-01-28 01:26:18,2026-01-28 01:26:18,1
18222467,house,6,sale,Centre (Kallithea),37.959267,23.704588,935,3,0,5,vip,14067,2026-01-27 06:30:25,2026-01-27 06:30:25,1
18223966,house,1,sale,Κυπριάδου - Άνω Πατήσια (Αθήνα - Κέντρο),38.025768,23.735229,61,18,1,1,vip,17258,2026-01-28 01:26:19,2026-01-28 01:26:19,1
18226149,house,1,sale,Anavrita (Marousi),38.05315,23.820295,110,6,3,2,vip,20325,2026-01-27 06:30:25,2026-01-27 06:30:25,1
18226161,house,1,sale,Anavrita (Marousi),38.05315,23.820295,110,9,3,2,vip,20325,2026-01-27 06:30:25,2026-01-27 06:30:25,1
18227452,house,3,sale,Εκάλη (Αθήνα - Βόρεια Προάστια),38.116745,23.837065,450,3,4,3,vip,6532,2026-01-28 01:26:18,2026-01-28 01:26:18,1
18229020,house,1,sale,Άγιος Παντελεήμονας (Κερατσίνι),37.962822,23.624632,83,6,2,1,vip,695,2026-01-28 01:26:23,2026-01-28 01:26:23,1
18229456,house,1,sale,Κάτω Πετράλωνα (Αθήνα - Κέντρο),37.96846,23.708614,90,9,3,1,vip,695,2026-01-28 01:26:25,2026-01-28 01:26:25,1
18229486,house,1,sale,Tampouria (Tabouria - Agia Sofia),37.962807,23.629791,40,3,1,1,vip,17224,2026-01-27 06:30:18,2026-01-27 06:30:18,1
18229611,house,1,sale,Άνω Ιλίσια (Ζωγράφου),37.975418,23.76272,51,7,1,1,vip,15203,2026-01-28 01:26:23,2026-01-28 01:26:23,1
18235736,house,1,sale,Κολωνάκι (Κολωνάκι - Λυκαβηττός),37.977436,23.744057,78,4,1,1,vip,13787,2026-01-28 01:26:19,2026-01-28 01:26:19,1
18240683,house,1,sale,Νέο Ψυχικό (Αθήνα - Βόρεια Προάστια),38.006462,23.779829,222,9,4,2,vip,17102,2026-01-28 01:26:19,2026-01-28 01:26:19,1
18241617,house,1,sale,Χαροκόπου (Καλλιθέα),37.956474,23.713093,86,6,2,1,vip,24290,2026-01-28 01:26:25,2026-01-28 01:26:25,1
18241654,house,1,sale,Κέντρο Παγκρατίου (Αθήνα - Κέντρο),37.967392,23.750893,108,9,3,2,vip,3155,2026-01-28 01:26:25,2026-01-28 01:26:25,1
18241860,house,1,sale,Αμφιθέα (Παλαιό Φάληρο),37.937065,23.702387,52,6,1,1,vip,16201,2026-01-28 01:26:18,2026-01-28 01:26:18,1
18242254,house,2,sale,Κολωνάκι (Κολωνάκι - Λυκαβηττός),37.97776,23.743044,32,7,1,1,vip,10234,2026-01-28 01:26:18,2026-01-28 01:26:18,1
18244889,house,3,sale,Agios Georgios (Neo Psychiko),38.002815,23.786688,115,6,3,2,vip,6532,2026-01-27 06:30:20,2026-01-27 06:30:20,1
